name,u-g_is_valid,u-g_pos_gamma_alpha,u-g_pos_gamma_loc,u-g_pos_gamma_beta,u-g_neg_gamma_alpha,u-g_neg_gamma_loc,u-g_neg_gamma_beta,u-r_is_valid,u-r_pos_gamma_alpha,u-r_pos_gamma_loc,u-r_pos_gamma_beta,u-r_neg_gamma_alpha,u-r_neg_gamma_loc,u-r_neg_gamma_beta,u-i_is_valid,u-i_pos_gamma_alpha,u-i_pos_gamma_loc,u-i_pos_gamma_beta,u-i_neg_gamma_alpha,u-i_neg_gamma_loc,u-i_neg_gamma_beta,u-z_is_valid,u-z_pos_gamma_alpha,u-z_pos_gamma_loc,u-z_pos_gamma_beta,u-z_neg_gamma_alpha,u-z_neg_gamma_loc,u-z_neg_gamma_beta,g-r_is_valid,g-r_pos_gamma_alpha,g-r_pos_gamma_loc,g-r_pos_gamma_beta,g-r_neg_gamma_alpha,g-r_neg_gamma_loc,g-r_neg_gamma_beta,g-i_is_valid,g-i_pos_gamma_alpha,g-i_pos_gamma_loc,g-i_pos_gamma_beta,g-i_neg_gamma_alpha,g-i_neg_gamma_loc,g-i_neg_gamma_beta,g-z_is_valid,g-z_pos_gamma_alpha,g-z_pos_gamma_loc,g-z_pos_gamma_beta,g-z_neg_gamma_alpha,g-z_neg_gamma_loc,g-z_neg_gamma_beta,r-i_is_valid,r-i_pos_gamma_alpha,r-i_pos_gamma_loc,r-i_pos_gamma_beta,r-i_neg_gamma_alpha,r-i_neg_gamma_loc,r-i_neg_gamma_beta,r-z_is_valid,r-z_pos_gamma_alpha,r-z_pos_gamma_loc,r-z_pos_gamma_beta,r-z_neg_gamma_alpha,r-z_neg_gamma_loc,r-z_neg_gamma_beta,i-z_is_valid,i-z_pos_gamma_alpha,i-z_pos_gamma_loc,i-z_pos_gamma_beta,i-z_neg_gamma_alpha,i-z_neg_gamma_loc,i-z_neg_gamma_beta
NGC3057,1,13.498681921071372,-0.3828005195287733,0.02998147067645225,12.676872409784266,-0.3973710520442901,0.03221931166126551,1,12.876457315645201,-0.5099513132608189,0.037984437064258095,13.433641870217185,-0.5776102885523323,0.039243121575771894,1,13.890958160672419,-0.6782004811797661,0.04511980915691954,11.543508503319893,-0.6577219156015263,0.049521398665380495,1,11.648485611252541,-0.6446994476977268,0.046226337426793426,11.071355143478408,-0.6606218018957694,0.047203694743171945,1,15.53972387937652,-0.2103831125025678,0.010786997658456535,9.122215969835358,-0.2066462544136753,0.015911151023277968,1,8.822895455886474,-0.31528337487246955,0.02742075540394184,11.701278925063233,-0.3389309507968728,0.020663610560629975,1,8.065598326022892,-0.4149764689559026,0.0355626476030993,9.7028498777613,-0.4631355960707994,0.03236715147620573,1,10.635624461964614,-0.22675764941880733,0.01844375766565831,10.097255246232315,-0.19463599928873515,0.01574655823132438,1,7.043584969662262,-0.35190761809335686,0.03783887447437235,9.992911807491872,-0.404021970972486,0.031666574387206714,1,11.69952701986907,-0.3731205070292024,0.027208876489728265,8.204448260461405,-0.3356330758047314,0.034577751300295376
NGC3106,1,8.190495165089853,-0.015442381283456347,0.00660214244471355,8.250739550430133,-0.016688602569607604,0.006847798537568281,1,9.780680746842496,-0.013983604097535041,0.005296900894774479,9.49341277182849,-0.01495978407965504,0.005799081851746978,1,7.43467233079007,-0.01324760522639293,0.007490642233591778,6.887532014258806,-0.013388058848599626,0.008579536065659102,1,6.087414031902264,-0.015924213343936126,0.009944498455025695,5.215352372449774,-0.013198960956834212,0.011747603135837491,1,80.58733904520373,-0.08216444406969774,0.0010095345378853743,83.99515736380849,-0.060300177939978925,0.000721263865921352,1,123.69777655328164,-0.054691043290072835,0.0004729387686544938,39.69548198604053,-0.024216635084931038,0.0007585146820726438,1,28.99499790795135,-0.04072562243111681,0.00161080384215244,7.354616149075355,-0.017398507485318716,0.0034885079296917447,1,11.192290418731382,-0.01407344497242364,0.0016701333774149251,9.238920142843341,-0.014141527554502663,0.0021379126655099315,1,5.742179642217735,-0.018324302435116353,0.004373369972611406,5.120783003061101,-0.018022978381396118,0.0050770777940620385,1,45.39971900387166,-0.0444130328482371,0.0010260467384862642,22.78231268305477,-0.028686317964076547,0.001362964193021153
NGC3166,1,32.547444936305865,-0.13743347852532545,0.004157020012846652,27.394461887505276,-0.09608095240801899,0.004003041704108689,1,24.87715621176106,-0.22971643677840342,0.009055279108526328,20.146110133182123,-0.16904030341270787,0.009424446373220369,1,21.182652633728836,-0.3002004489018282,0.013675683646778033,23.306834745524046,-0.23063644929942856,0.010802222274123268,1,18.225222268696406,-0.37192124515456937,0.01943543758676031,25.709198265476378,-0.3238241750453161,0.01322911847868964,1,30.054668395775213,-0.11732378292754746,0.003826694612517983,27.25329837857886,-0.10075817363753052,0.003962954586795973,1,18.969049150001016,-0.1792985098629874,0.009010383935754247,26.93859220529491,-0.15503514132152924,0.0060353592059006434,1,21.79631745659174,-0.277113031225871,0.011999277174152473,30.28804821858052,-0.25231331547622043,0.0084197881437368,1,30.009340206223055,-0.09568596741120765,0.002986390835869083,52.67598101474889,-0.07409614588672069,0.001412402264087159,1,30.65297131476123,-0.20426106228782887,0.006231103305925239,48.15667174524541,-0.179560176473823,0.0036343956873522427,1,50.93194762390568,-0.131267430082658,0.0024360848800782675,64.77427264036818,-0.12861598443034877,0.0019108308601218271
NGC3206,1,17.420043439892154,-0.2295736995197566,0.013481869806639759,14.704218985630288,-0.1923288079394172,0.01366831103232126,1,13.063003417021337,-0.2766695753637127,0.020732858199278937,11.966158052443264,-0.23392634782817684,0.01944989124190573,1,11.258918697351083,-0.3254812385671118,0.027037712996897913,18.92238810615567,-0.38066076169462165,0.01927514563005371,1,13.698557633534966,-0.32466312593483804,0.019866634960299445,48.58369881719019,-0.585109816975066,0.011110981110998007,1,21.745729627596976,-0.14337008687537195,0.006081784935040373,13.164276340945547,-0.11493128584154254,0.00798314904302231,1,22.849697341073426,-0.22847855284748486,0.008846142051454644,44.6037491120315,-0.3328089695332877,0.00691033757802503,1,36.41767897819372,-0.29506125257149624,0.006515003677304927,85.34495749591672,-0.5372580248137321,0.005662991127255118,1,19.537205577560933,-0.12258681723589425,0.005495011479450513,59.94375420433937,-0.24502163212411598,0.0038415767418196176,1,19.82457088924345,-0.20279137428068156,0.007874504374796922,69.19131628174777,-0.4348267389721896,0.00564688429095703,1,12.21661214716039,-0.15995477703770605,0.010518605298730452,24.01321399498278,-0.21694905528044445,0.007811564644568694
NGC3319,1,7.657246767959475,-0.15746538052011388,0.01904768501776554,11.398562279977401,-0.14437322310729905,0.01148815734278335,1,6.223800921442536,-0.16697456570658598,0.025382808712299122,8.333549678243562,-0.12567062126669365,0.014433452690218342,1,4.043867534275615,-0.14976941285361328,0.035726883233522654,7.549193963192408,-0.13185979673156303,0.017187366117594263,1,4.954224642651196,-0.20017301996617054,0.035509685455628465,5.7617959569239945,-0.16553451175502495,0.024336516821112004,1,7.5040895387618125,-0.0677724858733453,0.00937995529454983,13.425706185315025,-0.07696383876196708,0.006331127577047828,1,5.368460779566561,-0.07056468655434762,0.014321165050321627,5.682532968609386,-0.05528491205664196,0.011720235040343455,1,7.342582096545692,-0.13861526405828803,0.01715714678480333,6.737016263579722,-0.12063841107037968,0.01614226319775413,1,20.22134736745361,-0.09585451976840222,0.004923356775825114,28.268525668666925,-0.13527850104990438,0.004901500443449786,1,10.804955033821878,-0.13098610564107577,0.010711109995727122,18.644906851973044,-0.18050512761916343,0.008612614029596089,1,13.943666455611305,-0.11466286998370893,0.0068638645871226854,29.632847344546335,-0.1680108880790125,0.004886720977543072
NGC3344,1,50.16582404169894,-0.0979251936176599,0.0018457468028492373,43.577690697045966,-0.0898354918629684,0.001925097549504422,1,37.561678970301415,-0.11130857480583724,0.0027918253144731905,37.47365908030249,-0.12073681993679479,0.0030250387888711362,1,41.3912303711287,-0.13582676337892413,0.0030994193088462714,38.024970399487366,-0.14289394554445284,0.003529281834100296,1,35.967473286999635,-0.11939775949482596,0.00308590267129508,37.3479681495433,-0.12821063964667329,0.003183736219267644,1,129.035366479993,-0.054625883013283014,0.0004147292339386872,83.32087840036328,-0.05277051800625708,0.0006161379671329786,1,80.52414740651861,-0.06650346011931417,0.0007984842028238878,46.79330672331116,-0.06555845368148443,0.0013422759812757024,1,80.85470851177338,-0.056767345060971405,0.0006640737779026232,58.28894867221274,-0.05510485712502901,0.0008877237256777295,1,228.2377488598491,-0.04549248656933967,0.00019452273186103424,143.27337288475672,-0.04231350459039511,0.000286151872825513,1,93.92939177786853,-0.028662797096565235,0.00028425701045102844,124.27702114678954,-0.026685380233643547,0.00019921918734621918,1,41.965420897696994,-0.018069506502030205,0.00040990542415788044,39.892988393105185,-0.018619808355988143,0.00045141656766739573
NGC3346,1,16.553880028631262,-0.110645406670394,0.011544861093163846,21.839738404827767,-0.14620344614841624,0.010396455591216425,1,12.929833661955525,-0.11207290914602878,0.015102855401576232,11.425063725705117,-0.11600575776389092,0.01764101326512247,1,10.87411848565072,-0.11905466863811003,0.018321268574567985,12.756109084874646,-0.14989002473209936,0.018242243574926154,1,11.943969899639841,-0.16331383378059372,0.01794750050054504,12.163050143010805,-0.1791188649853692,0.01913982531066572,1,23.253472185104545,-0.08115698565399591,0.003607833066392622,25.58413825973961,-0.08708831365957674,0.003587372433762555,1,18.069413839743177,-0.096292996891841,0.005312797392287944,18.34246380356725,-0.10862626763601631,0.006028844804145814,1,14.098421656657136,-0.14289776680212193,0.008049234355760047,13.994796967377244,-0.14509672524276357,0.008426280939496149,1,24.015071858658576,-0.060637143645072264,0.002398727832936115,24.815256548246555,-0.06388370671605591,0.00246420132242181,1,15.027986062226429,-0.11773151546142602,0.005694548029379548,18.497174214374986,-0.12597695105157625,0.0050879554347830975,1,16.703542908528007,-0.11196449880678483,0.004959552268818709,15.558717175548278,-0.10951687263970493,0.005166662358272809
NGC3351,1,27.20919049154244,-0.3583567798944401,0.011473376364564442,18.407508760562934,-0.34629583855823803,0.01610693439083411,1,33.40299131121449,-0.7039473477357284,0.01872831506409737,22.701919436503616,-0.6515876484432342,0.02504478984240373,1,31.388067389624442,-0.8464188269731563,0.024196644100334088,24.423052075792587,-0.7835782356338414,0.028409277777159684,1,36.40468796513003,-0.8464188269731563,0.021183205927071992,27.932792518828368,-0.778665182630977,0.02501260323874509,1,40.46601777071188,-0.3580905678412884,0.008053682576866129,38.04284847782377,-0.33892815690149364,0.008036007414009184,1,32.55451132125028,-0.5005620470787162,0.014124144208526587,33.96865799524782,-0.46512183372820753,0.012517190740777125,1,37.77061708175958,-0.5005620470787162,0.012482896897632302,39.958826962948514,-0.4627616233683936,0.01082553300214009,1,38.62297210271773,-0.18170457800759005,0.004482753128734294,28.86983635634764,-0.1444905871906072,0.004772332879902911,1,27.066357015562687,-0.16339666255408453,0.006151970866908036,29.23096379798918,-0.14882421157163078,0.005194961539775218,1,6.6018998552346515,-0.02703061930301136,0.00586387652100173,7.746473668236121,-0.029615695990981062,0.005080935754245043
NGC3359,1,26.688930367377164,-0.44885021917664175,0.014937668950346273,29.59908567458434,-0.4403020609824511,0.013146274250061292,1,14.862187739647602,-0.503279776436557,0.02895715445733886,18.608120307810903,-0.4813519840089509,0.022373638813052907,1,23.4450659832791,-0.6292087809726,0.023488574537996403,18.099528035492305,-0.5185362992911072,0.024886036721146334,1,32.86438020410829,-0.7683414547107345,0.02002178607724857,20.28594142227145,-0.5816641031706874,0.023939927365157255,1,24.98735855231426,-0.20865522281771415,0.007440639419839726,23.568089463676642,-0.16055569408262632,0.0062253427970859415,1,47.48306491324209,-0.33398883307808885,0.006437053826882644,23.25801712500134,-0.21957667585723878,0.008713135688092495,1,58.19485607998099,-0.4731215068162233,0.007096219196003563,39.68684461337263,-0.35679773033460493,0.007860588503302658,1,62.26503493485565,-0.15388085308879534,0.0023813744367675517,37.85014765826564,-0.10993840434251463,0.002822928105721881,1,72.94068197859805,-0.29301352682692977,0.0035040633796763975,41.46929432119723,-0.21703324763150483,0.004486059696484722,1,36.52931570905194,-0.15774530897638533,0.003447232528327118,48.440869724630396,-0.16552549956713974,0.002840909779824229
NGC3367,1,60.13007443952219,-0.07469627257341309,0.0010524900373433425,44.22038489365543,-0.09142226681291836,0.0017653689722553461,1,10.19843172466373,-0.0726902093231306,0.004848399403014865,15.409718489290242,-0.09491353092454118,0.004422492390886818,1,8.03972468542614,-0.11427487591565692,0.00980315729962115,8.928739561306116,-0.12718255010685434,0.009704820044853393,1,8.922972818737753,-0.15506032824963956,0.011875004903856715,7.7726094795196055,-0.16766484306986013,0.014399346459892824,1,12.242913106962868,-0.041975176776623255,0.0024619145587989645,35.67519927112554,-0.0670131029541882,0.0015026098597884533,1,8.406505381641859,-0.08471166061173084,0.007216011405468019,8.63394360815641,-0.08912036720634506,0.0071747745828776854,1,8.736061100292064,-0.12313937334655763,0.009781222724581762,6.610241950937954,-0.12649060914622565,0.012723170327820128,1,13.05952911631942,-0.05597044666907054,0.003350380793837357,13.095715117155814,-0.05897602867021663,0.0034522328096403604,1,10.989397987963313,-0.09487011892650894,0.006280077923243367,9.921846510875701,-0.10368622277841098,0.0075294497430150745,1,32.41946546370661,-0.07396426363290946,0.0018607484941129298,25.37006167728536,-0.08338526428289332,0.0026870907256853374
NGC3381,1,38.12885025692066,-0.22079288027065935,0.005287909669433152,22.083521005143638,-0.2610359438626566,0.010792768619170345,1,30.117517221383867,-0.23607597265688535,0.0071166170087165375,20.113372747421625,-0.2714762361700718,0.01206789942616842,1,23.659951130732257,-0.3586483933220444,0.013134056860218714,14.018086057440254,-0.4207100013558885,0.025642046847670706,1,18.686236446659688,-0.4044784615738691,0.017324368682670226,14.755240404863605,-0.4980967881157461,0.02734240414272121,1,59.24363708134672,-0.09893425866301235,0.0016265727491467854,43.326909883421926,-0.09049990286934496,0.001948983615978062,1,17.775899143060148,-0.1796694291699277,0.008491449147345445,12.836267203958448,-0.19668426008959844,0.01231824540408948,1,20.08966387802919,-0.26289088256456744,0.010020607413798555,16.984290349669102,-0.28925061073955693,0.012793656719274555,1,26.175248374348573,-0.1582826154918519,0.005047765013729348,22.80995180008398,-0.2067738396033154,0.00763992558631793,1,17.195987935169192,-0.2133841617673488,0.008977331666423656,19.134320180909413,-0.2739607448192432,0.010873539161167598,1,22.287726736986247,-0.12220245505975517,0.00400886523308392,20.959608039859692,-0.12012310616425208,0.0041378467675869095
