name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower.1,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower.1,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower.1,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower.1,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower.1,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower.1,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label,g-r_is_valid,g-i_is_valid,g-z_is_valid,r-i_is_valid,r-z_is_valid,i-z_is_valid
NGC4136,n,N,S,-0.0030867382717741,-0.0029411749424504,-0.0001455633293236,33904891.0,0.1526515237363847,0.0003449362651151,0.0003779710797892,0.0002214187867162,0.000559324123857,inf,N,1,-0.0016692804260544,-0.0017314793813365,6.219895528214252e-05,34765384.0,0.1728249982034397,0.0006118532289426,0.0006352775348805,0.0004988304042905,0.0008019117770185,inf,S,-1,-0.0096637445996305,-0.0096581036825251,-5.640917105342522e-06,34133404.0,0.4911961000322686,0.0003531385019932,0.0004261120526637,0.0002643215303929,0.0006296931456777,inf,N,1,0.0014174578457196,0.0012096955611138,0.0002077622846058,35305285.0,0.0018340911113044,0.0003761339421322,0.0003997182148997,0.0002896322198147,0.0005449985136705,inf,S,-1,-0.0065770063278564,-0.0067169287400747,0.0001399224122183,34437464.0,0.7652013856770264,0.0002868930517507,0.0003716389940605,0.0002408192518769,0.0005278672785983,inf,S,-1,-0.0079944641735761,-0.0079266243011886,-6.783987238748873e-05,33877423.0,0.1286624800239928,0.0002471029783647,0.0002931537576905,0.0001832765527705,0.0004438413872208,inf,N,1,0,0,-,,,,,,
NGC4151,se,NE,SW,-0.0051322382276349,-0.0049091437690466,-0.0002230944585882,86614975.0,0.9033490095782584,0.0002360553873514,0.0003117115736114,0.0001487939016537,0.0005668689511585,inf,NE,0,-0.0022965689112604,-0.0020441897504117,-0.0002523791608487,85910187.0,0.3064953166882529,0.0002737120955793,0.0002995302799919,0.000180949246488,0.0004464154312547,inf,NE,0,0.0024147662637205,0.0026742933502209,-0.0002595270865003,84659435.0,0.0022666497547312,0.0003895593647048,0.000495648707638,0.000298903991281,0.0007619469146212,inf,NE,0,0.0028356693163744,0.0028649540186349,-2.9284702260542767e-05,85857477.0,0.2677908518732435,0.0002247938432976,0.0003240835406595,0.000199435252084,0.0005146110877849,inf,NE,0,0.0075470044913554,0.0075834371192676,-3.643262791216701e-05,85660262.0,0.1532081872935086,0.0003887731150073,0.0006225295114874,0.0003505715235535,0.0010758474587957,inf,NE,0,0.004711335174981,0.0047184831006326,-7.147925651622943e-06,85947679.0,0.3361775978032044,0.0002239156018494,0.0003652038131668,0.0002098522108915,0.0006193757252815,inf,NE,0,0,0,NE,,,,,,
NGC4185,ne,E,W,0.0022217876924549,0.0022385093911241,-1.672169866918276e-05,161122775.0,0.0937739104701679,0.0002556816884823,0.0002616675176585,0.0002051271421856,0.0003200429202637,inf,E,1,0.0011527093023209,0.0010434429469296,0.0001092663553913,162596841.0,0.0014298447723572,0.0003924483872653,0.0003954325137885,0.0003188599192434,0.0004733938885895,inf,W,-1,-0.015212387443851,-0.0152483406680282,3.595322417717858e-05,161550228.0,0.0344738258186039,0.0004359545151958,0.0004517411423243,0.00033685770904,0.0005789989420694,inf,W,-1,-0.0010690783901339,-0.0011950664441944,0.0001259880540604,162763952.0,0.0007792750510751,0.0002120093194622,0.0002168159686002,0.0001538450104062,0.0002793342696366,inf,W,-1,-0.017434175136306,-0.0174868500591523,5.267492284635744e-05,160502221.0,0.2988128061360201,0.0002718523066228,0.0002973390535836,0.0002041743105679,0.0004088851573541,inf,W,-1,-0.016365096746172,-0.0162917836149578,-7.331313121413177e-05,159237874.0,0.7959939726900094,0.0001322731184206,0.0001695755592718,0.0001085446300813,0.0002447509265948,inf,E,1,-2,-1,W,,,,,,
NGC4204,nw,NE,SW,-0.0142833437535052,-0.015342183506098,0.0010588397525928,3229673.0,0.1040401514611978,0.0012534822227595,0.001449583764827,0.0007613010325279,0.0024986543775556,inf,SW,0,-0.1054969675982352,-0.1108051179809721,0.0053081503827368,3365649.0,1.899795905963197e-05,0.0074756740885565,0.0078188466543068,0.0057298461986831,0.010145366232683,inf,SW,0,-0.173446121905042,-0.1793329179257743,0.0058867960207323,3316400.0,0.0009122740631432,0.0067631775612935,0.0073878732131288,0.0041473324547314,0.0110122460351454,inf,SW,0,-0.09121362384473,-0.0954629344748741,0.004249310630144,3375994.0,7.533729286727412e-06,0.0067103530707347,0.0068658588330258,0.005228567263052,0.0086664815714367,inf,SW,0,-0.1591627781515368,-0.1639907344196763,0.0048279562681394,3308109.0,0.0016069506458044,0.0056499462586803,0.0061918680598125,0.003447051154814,0.00932623752158,inf,SW,0,-0.0679491543068068,-0.0685277999448022,0.0005786456379954,3179313.0,0.5196832356419825,0.0039314179305779,0.0043071955197144,0.0027363551953643,0.0060968779917583,inf,SW,0,0,0,SW,,,,,,
NGC4210,sw,N,S,0.0145924139076754,0.0141358345378705,0.0004565793698048,8518448.0,9.037277770226057e-08,0.0014665434004588,0.0014732132258867,0.0012327222402504,0.0017030077700234,inf,S,1,0.018433257310488,0.0176453520179035,0.0007879052925845,8479510.5,6.800788846928551e-07,0.0014222086815791,0.0014750169399708,0.0011697382867633,0.0017934260794515,inf,S,1,0.0177076888246571,0.0164279828300097,0.0012797059946474,8538220.0,3.0753143022068735e-08,0.0017832302436775,0.0018598020480755,0.0015178030346813,0.0022306844480635,inf,S,1,0.0038408434028126,0.0035095174800329,0.0003313259227797,8219831.0,0.0144760792812876,0.0003678045296553,0.0004112263396786,0.0002752595855465,0.0005728159048357,inf,S,1,0.0031152749169817,0.0022921482921391,0.0008231266248426,8395939.0,3.247085821799064e-05,0.0008319280690795,0.0008858281925784,0.0006333305143723,0.0012112399578711,inf,S,1,-0.0007255684858308,-0.0012173691878938,0.0004918007020629,8343975.0,0.0002614386331248,0.0004918007020629,0.0004982125355798,0.0003072701430229,0.0007004684561172,inf,S,1,6,1,S,,,,,,
NGC4254,se,NW,SE,0.0131747248503501,0.0158786599180809,-0.0027039350677307,357908148.0,1.6447765852790038e-185,0.0027157827271158,0.002713828026274,0.0024715546653624,0.002940301660058,inf,NW,-1,0.0187637649032386,0.0225873276758762,-0.0038235627726376,357175749.0,3.6456735344040327e-190,0.0038262760696989,0.0038216458835901,0.0034803630865672,0.0041247374773351,inf,NW,-1,0.0184204579668065,0.0223123797376504,-0.0038919217708439,359291225.0,7.027206279871304e-177,0.0040144644983257,0.0040466391509932,0.0037521508861843,0.0043797149613288,inf,NW,-1,0.0055890400528884,0.0067086677577953,-0.0011196277049069,362483167.0,9.404788159064703e-158,0.001120415226943,0.0011233897595847,0.001017786257955,0.0012379576998148,inf,NW,-1,0.0052457331164563,0.0064337198195695,-0.0011879867031131,366840952.0,2.0055136855992464e-133,0.0015941416102617,0.0015963827466883,0.0014907289269035,0.0016953086385773,inf,NW,-1,-0.000343306936432,-0.0002749479382258,-6.83589982062642e-05,394972029.0,7.332494786494444e-26,0.0005107113886894,0.0005125425772668,0.0004657079161352,0.0005586853358304,inf,NW,-1,-6,-1,NW,,,,,,
NGC428,sw,NE,SW,0.0166949588671328,0.0253345844548668,-0.0086396255877339,21730515.0,1.5814213737819976e-184,0.0086396255877339,0.0086461359375869,0.0081420227106253,0.0092065657398995,inf,NE,-1,0.0176500713877742,0.0284087501861746,-0.0107586787984003,22591646.0,2.102438300445567e-147,0.0107586787984003,0.0107456930416041,0.01005990549351,0.011551581076842,inf,NE,-1,0.0104267726979442,0.0214922906477507,-0.0110655179498065,23264212.0,2.467555410840237e-121,0.0110655179498065,0.0111023403396309,0.0102641361933125,0.0119580794224672,inf,NE,-1,0.0009551125206413,0.0030741657313077,-0.0021190532106663,25491815.0,2.6975634507672773e-53,0.0021370920182314,0.0021404227516777,0.0018607375746306,0.0024126838222612,inf,NE,-1,-0.0062681861691886,-0.003842293807116,-0.0024258923620725,26604700.0,8.026057030985032e-30,0.0024958680123149,0.0024992286964217,0.0021821841888055,0.0028548149990243,inf,NE,-1,-0.00722329868983,-0.0069164595384238,-0.0003068391514061,29073464.0,0.0157262202424019,0.0003325738469596,0.0003678587073079,0.0002110026274376,0.0005522455432433,inf,NE,-1,-6,-1,NE,,,,,,
NGC4299,nw,W,E,-0.0193619951464784,-0.0249171453978924,0.0055551502514139,6672428.0,4.235180222132702e-25,0.0055673491433422,0.0056430498128012,0.0048419179031587,0.0065966924774617,inf,E,-1,-0.0126201323826678,-0.020226301591017,0.0076061692083492,6718305.0,1.00968424468015e-27,0.0085417298665935,0.0086681354449655,0.0075930705615892,0.0098597903895815,inf,E,-1,-0.0420970457094725,-0.0490868959054964,0.0069898501960239,6432830.0,1.2862906973515784e-13,0.0071556130685634,0.0073600599853678,0.0059767246791149,0.0088316824670546,inf,E,-1,0.0067418627638106,0.0046908438068753,0.0020510189569353,6411402.0,9.030576760355996e-13,0.0035470902934131,0.0036242799526368,0.0028957461996193,0.0044383195164962,inf,E,-1,-0.022735050562994,-0.024169750507604,0.00143469994461,6023510.0,0.0171812261408646,0.0020486642209186,0.0022955420548677,0.0014353731348355,0.0033626613220845,inf,E,-1,-0.0294769133268046,-0.0288605943144793,-0.0006163190123253,5726149.0,0.2049573902472595,0.0011604706444164,0.0013231452186413,0.0007854527828424,0.0019618326440501,inf,W,1,-4,-1,E,,,,,,
NGC4303,ne,NW,SE,0.0017038334132559,0.0016779066128805,2.5926800375388696e-05,410081936.0,0.0048377802732052,0.0001595670621562,0.000165475374639,0.0001437042800308,0.0001890757088747,inf,SE,0,0.0024954908976017,0.0025693641872194,-7.387328961772554e-05,403985555.0,4.424969904755688e-09,0.0003286695547784,0.0003365500015661,0.0002955226324987,0.0003826471815995,inf,NW,0,0.0019098910905509,0.0020247919375742,-0.0001149008470233,399928309.0,2.8527979578863384e-15,0.0003664872941444,0.0003771555506763,0.0003288204691605,0.0004305770625207,inf,NW,0,0.0007916574843457,0.0008914575743388,-9.980008999311412e-05,396057804.0,8.078300459139061e-23,0.0002089727470746,0.0002112222571712,0.0001867360235276,0.0002378683364098,inf,NW,0,0.0002060576772949,0.0003468853246936,-0.0001408276473987,390710865.0,6.718075732732137e-36,0.0002722139855648,0.0002739334028339,0.0002377400582634,0.0003118771379449,inf,NW,0,-0.0005855998070508,-0.0005445722496452,-4.102755740559229e-05,404213727.0,8.750658717524116e-09,6.205714637974253e-05,6.32624844146321e-05,5.07274979423392e-05,7.651403509213737e-05,inf,NW,0,0,0,NW,,,,,,
NGC4351,nw,NW,SE,0.008318009878756,0.0013472329683487,0.0069707769104072,3619362.0,1.6376371153872715e-77,0.0069707840880915,0.0070115034510631,0.0061937016139442,0.0079535134620887,inf,SE,-1,-0.0058066526182261,-0.0150347502366985,0.0092280976184724,3492447.0,6.112058676600206e-57,0.0092518485525142,0.0093031543662175,0.0079634407364411,0.0106613774640689,inf,SE,-1,-0.0302650319204404,-0.044252179355872,0.0139871474354315,3393303.0,4.046653623056612e-43,0.0139871474354315,0.01403727776598,0.0120858996665119,0.0161180540795111,inf,SE,-1,-0.0141246624969821,-0.0163819832050473,0.0022573207080651,3064780.0,2.2315063329855453e-11,0.0029966584389434,0.0031128801876867,0.0024131484977407,0.0038528032471675,inf,SE,-1,-0.0385830417991965,-0.0455994123242207,0.0070163705250242,3131346.0,4.514704936046017e-16,0.0070234349901002,0.0070562973176376,0.0054055780796473,0.0088785432251518,inf,SE,-1,-0.0244583793022143,-0.0292174291191734,0.004759049816959,3065569.0,1.9865442073196215e-11,0.0047697137228091,0.0048192847274292,0.0035489067677604,0.0061515374391696,inf,SE,-1,-6,-1,SE,,,,,,
NGC444,ne,E,W,0.0484724714211378,0.0599119858862315,-0.0114395144650937,1203712.0,1.322746342475963e-24,0.0114440453255095,0.0114107146082886,0.00948562596453,0.0133463735415575,inf,E,1,0.0395778377087542,0.06069989923976,-0.0211220615310058,1054819.0,9.93378230141316e-53,0.0211220615310058,0.0211293686060234,0.0186048390115581,0.0234788118575544,inf,E,1,-0.0073703140721554,0.0197635371141322,-0.0271338511862876,1101642.0,1.0604872451917222e-42,0.0272258535756051,0.027229358874672,0.0236761977201911,0.0307692437816588,inf,E,1,-0.0088946337123836,0.0007879133535284,-0.0096825470659121,1175829.0,4.8966222207630093e-29,0.0096856733282382,0.0096712195898536,0.0080562051573247,0.0113230129782346,inf,E,1,-0.0558427854932933,-0.0401484487720993,-0.0156943367211939,1223552.0,1.098800149304612e-21,0.0157284203173802,0.0157985843059249,0.0127254813950174,0.0190218998467914,inf,E,1,-0.0469481517809096,-0.0409363621256278,-0.0060117896552818,1394124.0,0.0001512076338367,0.0060117896552818,0.0061223815516034,0.0035305644308751,0.008989196219394,inf,E,1,6,1,E,,,,,,
