name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
NGC4961,n,NE,5.66E-19,1.00E+00,1
NGC497,sw,SW,1.00E-22,1.00E+00,1
NGC5000,se,SE,5.96E-02,8.33E-01,1
NGC5016,se,SE,2.58E-06,9.30E-04,1
NGC5056,w,E,4.75E-03,1.84E-01,-1
NGC5101,sw,SW,3.00E-11,7.99E-01,1
NGC5135,w,NE,8.97E-02,1.00E+00,-1
NGC5204,w,E,9.10E-32,1.28E-10,-1
NGC5205,ne,NE,4.98E-09,1.00E+00,1
NGC5218,se,N,2.60E-03,1.27E-01,-1
NGC5371,w,W,8.19E-25,2.88E-24,1
NGC5378,s,S,3.22E-24,1.00E+00,1
NGC5383,sw,NE,1.42E-06,4.10E-04,-1
NGC5394,nw,W,2.25E-02,2.22E-01,1
NGC5406,sw,S,2.09E-23,8.16E-04,1
NGC5427,se,SE,1.22E-21,8.96E-03,1
NGC5457,nw,S,6.79E-08,3.87E-05,-1
NGC5474,sw,W,2.07E-25,1.63E-05,1
NGC5480,w,W,3.49E-11,1.00E+00,1
NGC551,ne,NE,4.60E-23,2.57E-01,1
NGC5520,nw,NW,8.88E-04,1.00E+00,1
NGC5630,s,N,2.08E-03,1.00E+00,-1
NGC5633,nw,W,4.14E-08,1.00E+00,1
NGC5657,ne,E,1.36E-02,1.00E+00,1
NGC5668,ne,SW,3.28E-07,7.01E-02,-1
NGC5669,se,SE,1.34E-06,9.20E-05,1
NGC5682,sw,SW,5.07E-06,7.38E-03,1
NGC5720,ne,NE,9.99E-19,1.00E+00,1
NGC5732,se,SE,1.80E-02,6.05E-01,1
NGC5789,sw,NE,5.27E-04,5.23E-02,-1
NGC5850,sw,NE,1.98E-04,1.46E-02,-1
NGC5888,ne,E,3.37E-20,2.22E-08,1
NGC5905,sw,SW,4.15E-08,1.00E+00,1
NGC5930,sw,E,3.01E-01,3.82E-01,-1
NGC5934,w,W,1.61E-11,1.00E+00,1
NGC5947,nw,NW,3.46E-03,6.14E-01,1
NGC5964,ne,NE,1.97E-17,1.27E-01,1
NGC5971,ne,NE,1.50E-01,3.10E-01,1
NGC6004,n,N,5.92E-09,1.00E+00,1
NGC6032,se,E,3.25E-02,7.83E-02,1
NGC6060,ne,N,2.66E-30,1.00E+00,1
NGC6063,ne,NE,5.67E-07,6.76E-02,1
NGC6154,se,NE,7.33E-01,8.60E-01,0
NGC6155,nw,SW,1.30E-07,9.25E-01,0
NGC628,e,NE,7.23E-04,6.27E-01,1
NGC6301,ne,N,2.88E-43,2.62E-24,1
NGC6478,nw,SE,2.20E-11,8.84E-03,-1
NGC6497,sw,SW,1.14E-14,1.42E-01,1
NGC6509,n,N,9.79E-11,1.33E-01,1
NGC6814,w,W,4.36E-03,1.50E-02,1
NGC6941,ne,NE,1.50E-15,3.52E-13,1
NGC701,nw,NW,2.24E-17,4.82E-05,1
NGC7047,sw,S,1.76E-09,1.00E+00,1
NGC7217,n,N,1.41E-13,1.00E+00,1
NGC7321,nw,NW,8.06E-12,1.00E+00,1
NGC7489,sw,E,6.05E-02,9.91E-02,-1
NGC753,ne,NE,7.46E-23,1.00E+00,1
NGC7549,e,W,4.35E-02,2.72E-01,-1
NGC7653,ne,NE,3.07E-32,1.00E+00,1
NGC7664,s,S,2.54E-15,1.00E+00,1
NGC768,se,SE,5.61E-03,5.96E-01,1
NGC7691,sw,W,1.53E-46,7.70E-14,1
NGC7716,se,SE,2.07E-12,1.00E+00,1
NGC7723,se,SE,1.60E-16,5.31E-05,1
NGC7741,w,SW,3.41E-28,3.25E-25,1
NGC7743,n,S,3.24E-03,5.94E-02,-1
NGC776,ne,NE,1.37E-06,9.58E-03,1
NGC7819,s,S,4.06E-02,1.00E+00,1
NGC7824,sw,W,2.58E-01,5.39E-01,1
NGC853,se,S,1.57E-07,9.61E-02,1
NGC864,w,SE,1.28E-07,7.25E-04,-1
NGC895,s,SW,6.35E-14,8.67E-02,1
NGC922,e,NW,6.67E-12,6.80E-01,-1
NGC925,n,S,2.63E-110,1.00E+00,-1
