name,dark_side_label,pos_side_label,neg_side_label,ref_band,encounted_sersic_error,r-i_pos_side_mean,r-i_pos_side_std,r-i_neg_side_mean,r-i_neg_side_std,r-i_D,r-i_P,r-i_label,r-i_score,r-z_pos_side_mean,r-z_pos_side_std,r-z_neg_side_mean,r-z_neg_side_std,r-z_D,r-z_P,r-z_label,r-z_score,r-y_pos_side_mean,r-y_pos_side_std,r-y_neg_side_mean,r-y_neg_side_std,r-y_D,r-y_P,r-y_label,r-y_score,i-z_pos_side_mean,i-z_pos_side_std,i-z_neg_side_mean,i-z_neg_side_std,i-z_D,i-z_P,i-z_label,i-z_score,i-y_pos_side_mean,i-y_pos_side_std,i-y_neg_side_mean,i-y_neg_side_std,i-y_D,i-y_P,i-y_label,i-y_score,z-y_pos_side_mean,z-y_pos_side_std,z-y_neg_side_mean,z-y_neg_side_std,z-y_D,z-y_P,z-y_label,z-y_score,vote_count,vote_score
NGC210,E,E,W,i,False,0.015002742542182344,0.01695221164035298,0.01830425528368055,0.02155021521870161,0.08746578030632302,7.534072934406475e-08,E,1,0.03318910352347001,0.03239777781110544,0.03646033192628709,0.040098200105319226,0.05200987992293271,0.00466853228734818,E,1,0.034706366553674595,0.03524158353372364,0.038419876529041434,0.04414489756050071,0.05378411427755902,0.003070781788412332,E,1,0.01818636098128766,0.017916191783650195,0.01815607664260654,0.019636190475554576,0.06484023781876212,0.0001645465592960036,W,-1,0.019703624011492255,0.02071246910222228,0.02011562124536088,0.023669814532524796,0.06752105078786384,7.45538304707661e-05,E,1,0.0015172630302045934,0.0043350044991034824,0.001959544602754341,0.0049540510104610835,0.04085604374931074,0.04714965018912316,E,1,4,1
NGC2268,S,NW,SE,i,False,0.025170497073786546,0.022222980967852336,0.017842226322591796,0.023745633595650215,0.35051244752609845,5.28112337583613e-133,SE,1,0.022382695187360774,0.017169035973063296,0.010156948033260485,0.014704301283790409,0.50580859702856,1.7121547547173106e-283,SE,1,0.026193364882662332,0.024152702409658586,0.011811377289351856,0.020180030444106982,0.45764035932148944,4.44871272707053e-230,SE,1,-0.0027878018864257734,0.009164545963694428,-0.00768527828933131,0.013343958099284906,0.20524923684336255,2.769697176331759e-45,SE,1,0.001022867808875786,0.00838851564974663,-0.006030849033239938,0.009608814891105098,0.331585078623177,8.25540993286769e-119,SE,1,0.0038106696953015594,0.009870001127697517,0.0016544292560913719,0.009084658965923132,0.11478201115535257,2.1044660101023173e-14,SE,1,6,1
NGC255,NW,NW,SE,i,False,0.003918983627858273,0.01772824030002831,0.0020576460101529395,0.014207010964068371,0.04770316369268428,0.0005428086376814585,SE,-1,-0.010078784008698858,0.020820235561191478,-0.01316243762593448,0.01768983702328213,0.05630534288336276,2.131418119173985e-05,SE,-1,-0.04438655199225708,0.02794553705754014,-0.045997044308805794,0.02433391784468731,0.030134001791760304,0.07480114040405467,SE,-1,-0.013997767636557131,0.014516600243988771,-0.01522008363608742,0.013238097556202125,0.04428537078670245,0.0016635483539272184,SE,-1,-0.04830553562011535,0.02193996896509506,-0.04805469031895873,0.02188662394350348,0.02279819415245359,0.30145284603378814,NW,1,-0.034307767983558224,0.02290273321099344,-0.03283460668287131,0.021983916401800797,0.04789421414761343,0.0005056264927165524,NW,1,-2,-1
NGC2713,N,NE,SW,i,False,0.005016059286464922,0.0055883049921935405,0.009594199839728729,0.009567864040398135,0.29592877642224763,1.3467340151048304e-106,NE,1,0.02097666935922276,0.021009368588302234,0.027312359564263696,0.030855197606437797,0.1705331045876223,2.1939541992985677e-35,NE,1,0.015612801221302814,0.01929283266297524,0.023806264946330865,0.03136795268885476,0.21007672512390393,1.461237930275343e-53,NE,1,0.015960610072757838,0.019502016890513594,0.017718159724534967,0.022253875504571377,0.0920800768839751,1.3451076926392568e-10,NE,1,0.010596741934837893,0.01760121434052144,0.014212065106602135,0.022667290355630323,0.12927839200237218,1.7657637759821346e-20,NE,1,-0.005363868137919946,0.004356069011894933,-0.003506094617932831,0.0037212635846201186,0.1765362233659508,7.06312978047211e-38,NE,1,6,1
NGC2748,SE,NW,SE,i,False,0.024669370211541173,0.015146346580383411,0.005385984901686194,0.019355665930984513,0.47964585615188027,0.0,SE,1,0.06145517724869122,0.0264022595874474,0.028019535109747192,0.02700375477878337,0.4906921804866525,0.0,SE,1,0.029014056973618117,0.024826224597314844,-0.014836877095077267,0.04052846100914195,0.5559904502144049,0.0,SE,1,0.036785807037150044,0.020446382611612964,0.022633550208061,0.016815081631541388,0.30799884028090974,5.17329853182027e-157,SE,1,0.004344686762076944,0.017676022501641252,-0.02022286199676346,0.025963009572619027,0.44952322659622446,0.0,SE,1,-0.0324411202750731,0.018131720625728338,-0.04285641220482446,0.025205585883319396,0.19055509023616748,9.009550656702851e-60,SE,1,6,1
NGC2815,E,NW,SE,i,False,0.03130056125408643,0.02499205697327784,0.02346440209744366,0.018558875324808995,0.1402757742948496,1.1656299295234615e-29,SE,1,0.036583225194637616,0.027111305123163953,0.02445311978997792,0.01861821605633887,0.21878681602388886,7.712024911493974e-72,SE,1,0.04752605404204275,0.03656162186952848,0.03460561626249968,0.02737217644618965,0.16492723306803114,7.173755490433335e-41,SE,1,0.005282663940551189,0.005336455053116161,0.0009887176925342585,0.006865937122145546,0.2849073256840247,3.3830316259079475e-122,SE,1,0.016225492787956316,0.012493137118656104,0.011141214165056017,0.010620788823408224,0.1825053494614249,5.759287950901532e-50,SE,1,0.010942828847405127,0.011029766874658642,0.01015249647252176,0.011540093638576136,0.062056085425487933,3.820609112880462e-06,SE,1,6,1
NGC3003,N,N,S,i,False,-0.018295944407534962,0.021451148737305813,-0.011586155836412962,0.01511990529411325,0.12948485573927207,3.9314949049682716e-26,N,1,-0.0404995952820156,0.03218363333322594,-0.024051624101994178,0.020253371908248958,0.2298647533954707,4.819364572483827e-82,N,1,-0.09219272110363412,0.03164771725040492,-0.0732516676493631,0.023759558515512754,0.3017762502701489,8.057258545751356e-142,N,1,-0.022203650874480636,0.01701815663634694,-0.012465468265581214,0.012645415452163189,0.2574559885607194,5.059339500068476e-103,N,1,-0.07389677669609916,0.025901123627038645,-0.06166551181295013,0.021755230718163727,0.24779859960626555,2.1708364933856517e-95,N,1,-0.05169312582161852,0.029365501956566103,-0.04920004354736892,0.024076778395452986,0.09685337343849083,7.612048860288869e-15,N,1,6,1
NGC3185,SW,NE,SW,i,False,0.0005176153868839939,0.0075421485646150685,-0.0055880763922898855,0.005750266242613655,0.3918416287378261,8.259191330562225e-58,SW,1,-0.009904834666156503,0.009938649165018834,-0.020168970667824596,0.018938950234918726,0.2788381539666226,5.924027217777683e-29,SW,1,-0.002792769202773238,0.01780172349467113,-0.014892637489110176,0.009605690124257679,0.4265303243599598,1.2794260347754122e-68,SW,1,-0.010422450053040497,0.011700385663764626,-0.01458089427553471,0.015853362021881125,0.1195470994153057,1.0894213385815409e-05,SW,1,-0.0033103845896572323,0.013034603466001164,-0.00930456109682029,0.007858451983647095,0.2668117606754932,1.6061556279796588e-26,SW,1,0.007112065463383265,0.02005587892380463,0.0052763331787144185,0.016830636583324194,0.0406004128270013,0.47552671506515615,SW,1,6,1
NGC3200,N,NE,SW,i,False,0.00301001159777558,0.0041143225086388265,0.004934636854020768,0.0051177798357809395,0.1585314580111168,3.5683602725695637e-43,NE,1,-0.0033538994137853016,0.007003048535244345,1.556188619879953e-05,0.004451686952755651,0.21003204130002165,1.2711532140310393e-75,NE,1,-0.006298204334355487,0.007953257449807564,-0.0013602531845453925,0.01093912580438641,0.21456427527013403,5.493670982866275e-79,NE,1,-0.0063639110115608815,0.006921268960539268,-0.004919074967821969,0.005000864148224072,0.08835573233109695,1.1200585620769657e-13,NE,1,-0.009308215932131067,0.005803098011209027,-0.006294890038566161,0.007722067469504827,0.17014194243123262,1.0867850424739626e-49,NE,1,-0.0029443049205701848,0.009226100596392218,-0.001375815070744192,0.010752954788673778,0.09839899072544248,7.308285136290128e-17,NE,1,6,1
NGC3370,NE,NE,SW,i,False,0.009571679369552884,0.010344362798609048,0.017760024560077674,0.013606801678154944,0.27358215125251834,3.762125560085819e-72,NE,1,0.0013429966639597422,0.014649538221418632,0.017354340678443263,0.015688655611360503,0.4206712379389601,2.1244730102447357e-173,NE,1,-0.006925656440778507,0.017592069778314127,0.013013179404936992,0.01860052020502996,0.4220353678776596,1.430668481402355e-174,NE,1,-0.008228682705593142,0.010915320708006099,-0.0004056838816344108,0.008599418132647935,0.2847696610418529,2.214429878313851e-78,NE,1,-0.01649733581033139,0.014418836132891511,-0.004746845155140684,0.012350340889190676,0.3181578532966895,7.086016844667517e-98,NE,1,-0.008268653104738248,0.012420512493932907,-0.004341161273506273,0.011702172600358418,0.16443109710324236,3.181510443921118e-26,NE,1,6,1
