name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_pos_std,g-r_neg_mean,g-r_neg_std,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_pos_std,g-i_neg_mean,g-i_neg_std,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_pos_std,g-z_neg_mean,g-z_neg_std,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,r-i_pos_mean,r-i_pos_std,r-i_neg_mean,r-i_neg_std,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_pos_std,r-z_neg_mean,r-z_neg_std,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,i-z_pos_mean,i-z_pos_std,i-z_neg_mean,i-z_neg_std,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,total,score
NGC3813,N,N,S,0.06763567148080453,0.03717900272698116,0.07980483916883166,0.033183852140533134,0.21921212611267374,3.3931164412446776e-42,N,1,0.08703401871684519,0.04559950023438551,0.10376026842798809,0.045007547281411736,0.21012223500720206,8.782237564156116e-39,N,1,0.08511203974896042,0.05075262947104748,0.10948902106330098,0.05123589285459133,0.2494896565375106,1.3655332113308916e-54,N,1,0.01939834723604064,0.012168222503618849,0.023955429259156433,0.0139695728631536,0.16651238815232838,2.0384363116590913e-24,N,1,0.017476368268155882,0.017835112626619135,0.029684181894469315,0.020324556168769513,0.2772263741522228,2.1170972724264587e-67,N,1,-0.001921978967884759,0.010361994771577962,0.00572875263531288,0.009809712454847965,0.30658256978435106,1.0022917444415123e-82,N,1,6,1
NGC3877,SE,NW,SE,-0.015251291159456998,0.017354313407209714,-0.012033045729953847,0.016235482224865965,0.15252274010058783,4.5280926113851545e-49,NW,-1,-0.026112412407438924,0.030413307821557455,-0.021411659306036807,0.028430315733731074,0.12418751810032866,1.0379323493151337e-32,NW,-1,-0.02189977755705015,0.02781348099560107,-0.022143907153724364,0.029009971129576647,0.06267675269885141,1.1908818628131613e-08,SE,1,-0.010861121247981926,0.013511080308634769,-0.009378613576082958,0.013416884937016775,0.10417649048868496,3.812703534225694e-23,NW,-1,-0.006648486397593156,0.01199495829663107,-0.01011086142377052,0.015578456562966385,0.14446953970157614,3.9537303216147367e-44,SE,1,0.0042126348503887705,0.007782012997977103,-0.000732247847687559,0.008171418247820627,0.25743876762091455,3.2042166548213765e-140,SE,1,0,0
NGC3917,SE,NW,SE,0.022128490500787662,0.03002699600057605,0.002787410188750506,0.028523805726320253,0.2565902858525014,3.0740417008657493e-93,SE,1,0.03651649063529423,0.03886826733673468,0.004928798445956082,0.03698682049147406,0.3504932259747224,1.6493096528825623e-175,SE,1,0.03249496731456654,0.053797566206609256,-0.01965702017621855,0.04502893840578842,0.400320560456245,4.0781712381020765e-230,SE,1,0.014388000134506576,0.02039773563157687,0.0021413882572055743,0.019030094955488203,0.26035162567864106,5.360254418709112e-96,SE,1,0.010366476813778877,0.0407980175420936,-0.02244443036496906,0.03347504511661871,0.35513202719518344,4.481787294909963e-180,SE,1,-0.004021523320727696,0.03664978335691782,-0.024585818622174627,0.0320232935037058,0.2364022625739839,4.048048881484687e-79,SE,1,6,1
NGC4096,NW,W,E,0.01718628784022066,0.012105846493150413,0.012900667252397736,0.0206574443419952,0.24450826303016296,4.029648242204725e-134,E,-1,0.020434510098040277,0.01565331894396559,0.012324020095854468,0.03060545376754697,0.2888709118224893,8.764519203818527e-188,E,-1,0.004833873474599737,0.01963919345467504,-0.0022190783094220012,0.04075270213717934,0.23266959436033746,2.0567902502006056e-121,E,-1,0.003248222257819615,0.005995796219862228,-0.0005766471565432685,0.012346363022378248,0.2555406602719673,1.2819216320114603e-146,E,-1,-0.01235241436562092,0.01101418554473067,-0.015119745561819735,0.023214977463395407,0.17559613236257174,4.568477048407149e-69,E,-1,-0.015600636623440538,0.009104917038752392,-0.01454309840527647,0.014484519110095587,0.08471859470703802,2.324270845403801e-16,W,1,-4,-1
NGC4162,W,E,W,0.0017855233791736148,0.009969176896967458,0.00020781636756012393,0.0018652720916433792,0.1446041133192278,2.6832050267566164e-19,W,1,-0.0007017197250969413,0.008797496881920174,-0.002755266390608979,0.00587159645868919,0.1458795247661159,1.2698884803600331e-19,W,1,-0.0019187695255384507,0.01429222750952936,-0.005181752354891768,0.008567628665096179,0.15589136385029728,2.2398302466431383e-22,W,1,-0.002487243104270556,0.0042962934403320465,-0.0029630827581691027,0.0045307131907035515,0.07706948176907732,8.68362107373185e-06,W,1,-0.0037042929047120658,0.006680662599131411,-0.0053895687224518925,0.007202549069535517,0.1161729491707714,1.329173501332705e-12,W,1,-0.00121704980044151,0.007177954111770106,-0.0024264859642827894,0.0029258825121369395,0.11159638999435496,1.1721533232168672e-11,W,1,6,1
NGC4178,SE,W,E,-0.022179066575253883,0.03160516316339011,-0.020934556081998273,0.030375325749434048,0.017411674306174393,0.9234467018520417,W,-1,-0.028909631995778565,0.03006721700449711,-0.0293666576486405,0.03835421572294179,0.04496192697021926,0.03821970230142664,E,1,-0.06848200276768508,0.04667281096790683,-0.06929383691575054,0.05398731520841422,0.031872488700821225,0.27070581275972827,E,1,-0.006730565420524685,0.024281251955869585,-0.008432101566642227,0.02225122644565552,0.05534543203684039,0.005031316165552209,E,1,-0.0463029361924312,0.03342069093168103,-0.04835928083375226,0.03630797866268778,0.045168433803087465,0.03685844563361627,E,1,-0.039572370771906513,0.03138176689057384,-0.03992717926711004,0.029464603603048187,0.03878539831272712,0.10468077376977153,E,1,4,1
NGC4192,NE,NE,SW,0.0032482988632884327,0.008501145810717255,0.013671268135697403,0.01107260046386931,0.6225133075255964,0.0,NE,1,0.005183531361473657,0.011618169298733005,0.02004212768871276,0.01787141414811497,0.5852265232755033,0.0,NE,1,0.0038193696256714734,0.017213367472431452,0.021672026282024245,0.01947057805366998,0.5782114430497226,0.0,NE,1,0.0019352324981852264,0.005553034700223378,0.006370859553015357,0.007291977586985751,0.4052960626447535,2.870034541493621e-231,NE,1,0.000571070762383041,0.010260451379769426,0.008000758146326836,0.00868688399228608,0.4376395527509272,4.496717592434969e-271,NE,1,-0.0013641617358021857,0.007385440703534613,0.0016298985933114794,0.002346294275203937,0.3884449082157059,5.861474453179804e-212,NE,1,6,1
NGC4220,NE,NE,SW,0.018217502183131958,0.016732082368102058,0.048518650842127996,0.03070436250688149,0.5328183657962249,4.932993094751418e-285,NE,1,0.027434704133839097,0.028294361012376437,0.07204095963050536,0.04957519478071058,0.5113003630393659,6.997770078937495e-261,NE,1,0.02558349676225285,0.03333818073276682,0.0792270829714653,0.05673757957536496,0.5295658072589483,6.398960891873948e-281,NE,1,0.00921720195070714,0.012766927079475443,0.023522308788377355,0.01928350854081858,0.4747389635781989,1.9417506227059946e-223,NE,1,0.007365994579120889,0.018170492168614768,0.030708432129337306,0.02647527099501417,0.523166642842992,8.312295786545788e-274,NE,1,-0.0018512073715862502,0.007875550227558103,0.007186123340959948,0.007671921566772328,0.5378004395259005,3.16972467464851e-290,NE,1,6,1
NGC4274,NE,N,S,0.016404290907902085,0.015781236276939583,0.023526094208432533,0.014109158105435773,0.31716773911022667,4.153044285576102e-116,N,1,0.024461314782387434,0.022158484742228517,0.03536181104273381,0.019428259348871647,0.330989814566826,1.2782461174242138e-126,N,1,0.02659294874167021,0.02693389315210625,0.040509551858986984,0.02317669027004429,0.3292129078285181,1.988319170181939e-125,N,1,0.008057023874485349,0.006969424218627514,0.01183571683430127,0.005464761530320608,0.3499260151253373,5.012599523549139e-142,N,1,0.010188657833768123,0.012425777175280258,0.016983457650554448,0.009250515283347546,0.339577581948104,1.3702032291924298e-133,N,1,0.002131633959282774,0.0060442602836502084,0.005147740816253176,0.00415080447683181,0.27845228544017236,2.036609668570206e-89,N,1,6,1
NGC4579,NW,N,S,0.0069955522409185485,0.009612910805359328,0.009232535999774106,0.010412613031034919,0.27963262216599255,4.798103398745541e-65,N,1,0.0048052358719990985,0.007695761032387958,0.007815251726846861,0.00868653172594308,0.3079212173447788,5.560471022822145e-79,N,1,0.004337024474337472,0.008118159436241177,0.007913546664191522,0.00822242483782541,0.3184866241863824,2.1737505525656785e-84,N,1,-0.002190316368919449,0.003380285355394122,-0.0014172842729272442,0.002439301874232559,0.22827439198643337,3.1449624019518545e-43,N,1,-0.002658527766581075,0.004902153967859333,-0.0013189893355825843,0.0037013521450215046,0.2570871933408133,8.15171811287254e-55,N,1,-0.0004682113976616259,0.0019547832734120073,9.829493734466028e-05,0.0017857550496157002,0.1995103606298916,4.070333724198595e-33,N,1,6,1
