name,paper_label,ebm_label,ebm_pval,score
UGC1529,ne,SW,1.033E-10,-1
UGC1635,sw,E,7.281E-06,-1
UGC1862,se,E,6.387E-01,1
UGC3091,se,E,3.398E-02,1
UGC312,nw,E,4.673E-03,-1
UGC3140,sw,SW,9.216E-16,1
UGC3253,nw,N,1.221E-16,1
UGC3973,ne,S,4.581E-14,-1
UGC3995,nw,N,2.805E-150,1
UGC3997,nw,SE,3.714E-05,-1
UGC4107,sw,SW,1.478E-08,1
UGC4256,ne,NE,1.187E-15,1
UGC4284,w,W,1.926E-27,1
UGC4368,sw,NE,2.541E-32,-1
UGC4380,nw,SE,5.892E-04,-1
UGC4458,sw,NE,1.369E-14,-1
UGC448,sw,NE,1.662E-05,-1
UGC4499,sw,SW,2.471E-08,1
UGC4555,s,N,1.166E-22,-1
UGC4622,ne,SW,3.960E-01,-1
UGC463,se,SE,4.062E-22,1
UGC4659,sw,SW,1.625E-26,1
UGC4936,sw,NW,1.309E-08,0
UGC5,se,SE,2.701E-57,1
UGC5358,se,S,1.403E-32,1
UGC5786,ne,E,1.777E-45,1
UGC6537,se,W,3.486E-208,-1
UGC6628,e,N,3.253E-07,0
UGC6903,ne,SW,1.233E-10,-1
UGC6918,se,W,3.261E-35,-1
UGC7012,sw,W,8.239E-05,1
UGC7154,s,N,3.906E-08,-1
UGC7244,sw,SW,7.282E-04,1
UGC7917,se,N,1.590E-13,-1
UGC807,se,SE,1.054E-36,1
UGC8196,n,SW,9.610E-09,-1
UGC8516,se,SE,6.708E-15,1
UGC8733,se,E,1.006E-06,1
UGC8781,sw,SW,5.313E-06,1
UGC9067,nw,W,1.817E-03,1
UGC9177,se,N,8.977E-05,-1
UGC9476,sw,SW,3.640E-24,1
UGC9837,ne,E,9.699E-03,1
UGC9965,se,W,1.200E-06,-1
