name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_label,z-y_score,total,score,GOFHER_label
NGC3626,W,E,W,0.015879115369365617,0.010992773558974305,0.004886341810391312,W,1,0.020128331633874848,0.012513548680803706,0.007614782953071142,W,1,0.020176136336354015,0.012275829729502606,0.007900306606851409,W,1,0.017455002419702242,0.011916743944860945,0.005538258474841297,W,1,0.00424921626450923,0.001520775121829402,0.002728441142679828,W,1,0.004297020966988397,0.0012830561705283008,0.003013964796460096,W,1,0.0015758870503366242,0.000923970385886641,0.0006519166644499832,W,1,4.780470247916666e-05,-0.00023771895130110133,0.00028552365378026797,W,1,-0.0026733292141726058,-0.0005968047359427611,-0.0020765244782298448,E,-1,-0.0027211339166517724,-0.00035908578464165973,-0.0023620481320101127,E,-1,6,1,W
NGC4517,NW,N,S,0.03929174579396903,0.09139498227328248,-0.05210323647931345,N,1,0.1287335889626366,0.2438647928989708,-0.11513120393633422,N,1,0.15593030923397252,0.2976933627944302,-0.14176305356045768,N,1,0.1495206730109285,0.3057441310302822,-0.1562234580193537,N,1,0.08944184316866755,0.15246981062568832,-0.06302796745702077,N,1,0.11663856344000348,0.20629838052114774,-0.08965981708114426,N,1,0.11022892721695948,0.21434914875699973,-0.10412022154004025,N,1,0.027196720271335937,0.05382856989545941,-0.02663184962412347,N,1,0.02078708404829193,0.061879338131311405,-0.041092254083019475,N,1,-0.0064096362230440075,0.008050768235851996,-0.014460404458896004,N,1,10,1,N
NGC4605,NE,NE,SW,0.060145472071950735,0.0678718258359487,-0.00772635376399796,NE,1,0.09499865493331465,0.10998362267582996,-0.014984967742515315,NE,1,0.11838398700915806,0.13581729562587722,-0.017433308616719156,NE,1,0.12827594311056795,0.1481412687040231,-0.019865325593455163,NE,1,0.034853182861363914,0.04211179683988127,-0.0072586139785173545,NE,1,0.05823851493720733,0.06794546978992852,-0.009706954852721189,NE,1,0.0681304710386172,0.08026944286807441,-0.01213897182945721,NE,1,0.023385332075843413,0.025833672950047248,-0.0024483408742038346,NE,1,0.03327728817725329,0.038157646028193146,-0.004880357850939855,NE,1,0.009891956101409879,0.012323973078145894,-0.0024320169767360154,NE,1,10,1,NE
NGC4772,NE,NE,SW,0.006015288355350607,0.005602256187190621,0.00041303216815998575,SW,-1,0.020668006259366947,0.0194136342449671,0.001254372014399846,SW,-1,0.020293286201104224,0.019325682740288345,0.0009676034608158794,SW,-1,0.029674902850180738,0.027701109557546087,0.0019737932926346506,SW,-1,0.014652717904016338,0.013811378057776479,0.0008413398462398594,SW,-1,0.014277997845753619,0.013723426553097723,0.0005545712926558963,SW,-1,0.02365961449483013,0.022098853370355467,0.001560761124474664,SW,-1,-0.0003747200582627204,-8.795150467875718e-05,-0.0002867685535839632,NE,1,0.009006896590813792,0.008287475312578988,0.0007194212782348046,SW,-1,0.009381616649076514,0.008375426817257744,0.0010061898318187695,SW,-1,-8,-1,SW
NGC6314,W,E,W,0.02450480905187886,0.009339829809134993,0.015164979242743869,W,1,0.010959247511444932,-0.005444389372205365,0.016403636883650298,W,1,0.022750705643719074,-0.0024394079119416734,0.025190113555660747,W,1,0.01944958448661412,-0.010041451623754841,0.029491036110368962,W,1,-0.013545561540433928,-0.014784219181340357,0.0012386576409064293,W,1,-0.0017541034081597845,-0.011779237721076667,0.010025134312916881,W,1,-0.005055224565264739,-0.019381281432889832,0.014326056867625094,W,1,0.011791458132274144,0.003004981460263691,0.008786476672010452,W,1,0.00849033697516919,-0.0045970622515494755,0.013087399226718664,W,1,-0.0033011211571049547,-0.007602043711813167,0.004300922554708212,W,1,10,1,W
NGC681,NW,NW,SE,0.016872324728897273,0.03343717721493348,-0.016564852486036206,NW,1,0.04465561477392185,0.06683742099907769,-0.022181806225155837,NW,1,0.052803314371620794,0.07933710404456808,-0.026533789672947283,NW,1,0.04666800379051378,0.0800528004983546,-0.03338479670784082,NW,1,0.027783290045024583,0.033400243784144204,-0.005616953739119621,NW,1,0.035930989642723524,0.045899926829634605,-0.009968937186911081,NW,1,0.02979567906161651,0.046615623283421115,-0.016819944221804606,NW,1,0.00814769959769894,0.012499683045490397,-0.004351983447791457,NW,1,0.0020123890165919256,0.01321537949927691,-0.011202990482684985,NW,1,-0.006135310581107015,0.0007156964537865143,-0.006851007034893529,NW,1,10,1,NW
UGC10205,SW,NE,SW,0.11258490658257363,0.03752885182147138,0.07505605476110225,SW,1,0.16932114857105027,0.058118774833859285,0.11120237373719098,SW,1,0.16909558589604828,0.044921751958190974,0.1241738339378573,SW,1,0.19005406878619793,0.05293680641629465,0.1371172623699033,SW,1,0.05673624198847663,0.02058992301238791,0.03614631897608872,SW,1,0.05651067931347466,0.007392900136719593,0.04911777917675506,SW,1,0.07746916220362429,0.015407954594823269,0.062061207608801024,SW,1,-0.00022556267500196533,-0.013197022875668318,0.012971460200666352,SW,1,0.020732920215147665,-0.005181968417564643,0.02591488863271231,SW,1,0.02095848289014963,0.008015054458103675,0.012943428432045956,SW,1,10,1,SW
UGC10297,W,W,E,0.009065623875612628,-0.005088718146852358,0.014154342022464985,E,-1,0.032092657295575394,0.021149907120386696,0.010942750175188698,E,-1,0.006049601333023349,0.018495260938474985,-0.012445659605451635,W,1,0.012043100396772352,0.040538684309271565,-0.028495583912499213,W,1,0.023027033419962765,0.026238625267239055,-0.0032115918472762905,W,1,-0.0030160225425892775,0.023583979085327344,-0.02660000162791662,W,1,0.002977476521159725,0.04562740245612392,-0.042649925934964195,W,1,-0.026043055962552044,-0.0026546461819117093,-0.023388409780640336,W,1,-0.02004955689880304,0.019388777188884865,-0.039438334087687904,W,1,0.005993499063749003,0.022043423370796577,-0.016049924307047575,W,1,6,1,W
UGC3107,SE,N,S,0.0805192877679452,0.054159689052215125,0.026359598715730077,S,1,0.09859899395208706,0.05257647173550434,0.04602252221658272,S,1,0.11258177128468957,0.04938389344217398,0.0631978778425156,S,1,0.0974800567072849,0.019597785992590083,0.07788227071469482,S,1,0.018079706184141855,-0.0015832173167107885,0.019662923500852643,S,1,0.03206248351674437,-0.004775795610041144,0.036838279126785514,S,1,0.01696076893933971,-0.034561903059625046,0.05152267199896476,S,1,0.013982777332602518,-0.0031925782933303554,0.017175355625932875,S,1,-0.0011189372448021442,-0.03297868574291425,0.03185974849811211,S,1,-0.015101714577404664,-0.0297861074495839,0.014684392872179236,S,1,10,1,S
UGC5111,SW,NE,SW,0.05332101991837116,0.012872463668935442,0.04044855624943572,SW,1,0.09386427623290296,0.025295668373035336,0.06856860785986763,SW,1,0.1261828088665694,0.037313167645721235,0.08886964122084817,SW,1,0.10732133594557942,0.00921746787328021,0.09810386807229922,SW,1,0.040543256314531796,0.012423204704099891,0.028120051610431906,SW,1,0.07286178894819825,0.024440703976785792,0.04842108497141246,SW,1,0.05400031602720826,-0.003654995795655233,0.05765531182286349,SW,1,0.03231853263366645,0.012017499272685899,0.02030103336098055,SW,1,0.013457059712676462,-0.016078200499755124,0.029535260212431587,SW,1,-0.01886147292098999,-0.028095699772441023,0.009234226851451033,SW,1,10,1,SW
UGC5498,NW,NW,SE,-0.036712200254682574,-0.03501284085696376,-0.0016993593977188137,NW,1,0.0086664923737126,0.020624901433279406,-0.011958409059566806,NW,1,0.01881880957873598,0.03538162063341588,-0.016562811054679896,NW,1,-0.03794257160756857,-0.019114429028674624,-0.01882814257889395,NW,1,0.045378692628395174,0.05563774229024317,-0.010259049661847992,NW,1,0.055531009833418556,0.07039446149037965,-0.01486345165696109,NW,1,-0.001230371352886,0.01589841182828914,-0.01712878318117514,NW,1,0.010152317205023381,0.014756719200136471,-0.00460440199511309,NW,1,-0.046609063981281174,-0.03973933046195403,-0.006869733519327147,NW,1,-0.056761381186304555,-0.0544960496620905,-0.0022653315242140565,NW,1,10,1,NW
UGC6036,NE,N,S,0.00041987457621020285,0.006045192510551103,-0.0056253179343409,N,1,0.016243893950013445,0.02679368497280779,-0.010549791022794346,N,1,0.02903588342648792,0.041304099392707676,-0.012268215966219756,N,1,0.02051236763180412,0.03354851107592572,-0.0130361434441216,N,1,0.01582401937380324,0.020748492462256688,-0.004924473088453448,N,1,0.028616008850277718,0.03525890688215657,-0.0066428980318788515,N,1,0.020092493055593914,0.027503318565374614,-0.0074108255097807,N,1,0.012791989476474478,0.014510414419899881,-0.0017184249434254034,N,1,0.004268473681790675,0.006754826103117928,-0.0024863524213272524,N,1,-0.008523515794683802,-0.007755588316781955,-0.0007679274779018473,N,1,10,1,N
